App,BUILD.àÍä—áX
É^ÉCÉgÉã,5ëw6íi-XVF-YVF BBB_1
éÅñº,ITEC
ó™èÃ,óYåíçHã∆
<â◊èdÉPÅ[ÉX>,ñ}ó·
V,âîíºâ◊èdéû
S,êœê·â◊èdéû
EXL,ínêkéûXLâ¡óÕ
EXR,ínêkéûXRâ¡óÕ
EYL,ínêkéûYLâ¡óÕ
EYR,ínêkéûYRâ¡óÕ
WXL,ïóâ◊èdéûXLâ¡óÕ
WXR,ïóâ◊èdéûXRâ¡óÕ
WYL,ïóâ◊èdéûYLâ¡óÕ
WYR,ïóâ◊èdéûYRâ¡óÕ
V+É¬1ÅES,[ëΩê·ãÊàÊ]í∑ä˙
V+É¬2ÅES+EXL,[ëΩê·ãÊàÊ]íZä˙ínêkéûXLâ¡óÕ
V+É¬2ÅES+EXR,[ëΩê·ãÊàÊ]íZä˙ínêkéûXRâ¡óÕ
V+É¬2ÅES+EYL,[ëΩê·ãÊàÊ]íZä˙ínêkéûYLâ¡óÕ
V+É¬2ÅES+EYR,[ëΩê·ãÊàÊ]íZä˙ínêkéûYRâ¡óÕ
V+É¬2ÅES+WXL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXLâ¡óÕ
V+É¬2ÅES+WXR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXRâ¡óÕ
V+É¬2ÅES+WYL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYLâ¡óÕ
V+É¬2ÅES+WYR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYRâ¡óÕ
<ëÂó¿ïîçﬁâûóÕ>
äK,í ÇË,é≤,â◊èdÉPÅ[ÉX,ML[kNm],MC[kNm],MR[kNm],QL[kN],QR[kN]
1F,A,2,V,38.5,-105.2,165.7,88.3,119.1
1F,A,3,V,156.3,-62.4,133.0,105.3,99.2
1F,A,4,V,134.1,-73.0,134.1,102.2,102.2
1F,A,5,V,133.0,-62.4,156.3,99.2,105.3
1F,A,6,V,165.7,-105.2,38.5,119.1,88.3
1F,B,1,V,0.8,-89.1,1.0,72.0,72.0
1F,B,7,V,1.0,-89.1,0.8,72.0,72.0
1F,C,3,V,4.8,-204.1,2.8,109.7,109.2
1F,C,5,V,2.8,-204.1,4.8,109.2,109.7
1F,E,3,V,4.8,-204.1,2.8,109.7,109.2
1F,E,5,V,2.8,-204.1,4.8,109.2,109.7
1F,F,1,V,0.8,-89.1,1.0,72.0,72.0
1F,F,7,V,1.0,-89.1,0.8,72.0,72.0
1F,G,2,V,38.5,-105.2,165.7,88.3,119.1
1F,G,3,V,156.3,-62.4,133.0,105.3,99.2
1F,G,4,V,134.1,-73.0,134.1,102.2,102.2
1F,G,5,V,133.0,-62.4,156.3,99.2,105.3
1F,G,6,V,165.7,-105.2,38.5,119.1,88.3
2F,A,2,V,95.8,-120.1,205.2,97.7,126.3
2F,A,3,V,185.1,-19.4,-88.6,112.7,-0.8
2F,A,3A,V,-88.6,-22.3,179.2,0.8,111.2
2F,A,4,V,180.3,-22.7,-90.4,112.0,0.0
2F,A,4A,V,-90.4,-22.7,180.3,-0.0,112.0
2F,A,5,V,179.2,-22.3,-88.6,111.2,0.8
2F,A,5A,V,-88.6,-19.4,185.1,-0.8,112.7
2F,A,6,V,205.2,-120.1,95.8,126.3,97.7
2F,B,1,V,0.0,-82.5,-0.0,39.3,39.3
2F,B,7,V,-0.0,-82.5,0.0,39.3,39.3
2F,C,1,V,0.1,-475.1,-742.3,192.2,-104.7
2F,C,2,V,-742.3,-678.3,0.1,25.2,220.5
2F,C,3,V,0.0,-227.0,-302.7,120.5,0.0
2F,C,3A,V,-302.7,-227.0,0.0,-0.0,120.5
2F,C,4,V,0.0,-227.0,-302.7,120.5,0.0
2F,C,4A,V,-302.7,-227.0,0.0,-0.0,120.5
2F,C,5,V,0.0,-227.0,-302.7,120.5,-0.0
2F,C,5A,V,-302.7,-227.0,0.0,0.0,120.5
2F,C,6,V,0.1,-678.3,-742.3,220.5,25.2
2F,C,7,V,-742.3,-475.1,0.1,-104.7,192.2
2F,D,1,V,0.0,-278.9,-419.7,113.7,-54.2
2F,D,2,V,-419.7,-352.8,0.0,2.8,113.3
2F,D,3,V,0.0,-118.6,-168.0,63.5,-7.8
2F,D,3A,V,-168.0,-118.6,0.0,-7.8,63.5
2F,D,4,V,0.0,-118.6,-168.0,63.5,-7.8
2F,D,4A,V,-168.0,-118.6,0.0,-7.8,63.5
2F,D,5,V,0.0,-118.6,-168.0,63.5,-7.8
2F,D,5A,V,-168.0,-118.6,0.0,-7.8,63.5
2F,D,6,V,0.0,-352.8,-419.7,113.3,2.8
2F,D,7,V,-419.7,-278.9,0.0,-54.2,113.7
2F,E,1,V,0.1,-475.1,-742.3,192.2,-104.7
2F,E,2,V,-742.3,-678.3,0.1,25.2,220.5
2F,E,3,V,0.0,-227.0,-302.7,120.5,0.0
2F,E,3A,V,-302.7,-227.0,0.0,-0.0,120.5
2F,E,4,V,0.0,-227.0,-302.7,120.5,0.0
2F,E,4A,V,-302.7,-227.0,0.0,-0.0,120.5
2F,E,5,V,0.0,-227.0,-302.7,120.5,-0.0
2F,E,5A,V,-302.7,-227.0,0.0,-0.0,120.5
2F,E,6,V,0.1,-678.3,-742.3,220.5,25.2
2F,E,7,V,-742.3,-475.1,0.1,-104.7,192.2
2F,F,1,V,0.0,-82.5,-0.0,39.3,39.3
2F,F,7,V,-0.0,-82.5,0.0,39.3,39.3
2F,G,2,V,95.8,-120.1,205.2,97.7,126.3
2F,G,3,V,185.1,-19.4,-88.6,112.7,-0.8
2F,G,3A,V,-88.6,-22.3,179.2,0.8,111.2
2F,G,4,V,180.3,-22.7,-90.4,112.0,0.0
2F,G,4A,V,-90.4,-22.7,180.3,-0.0,112.0
2F,G,5,V,179.2,-22.3,-88.6,111.2,0.8
2F,G,5A,V,-88.6,-19.4,185.1,-0.8,112.7
2F,G,6,V,205.2,-120.1,95.8,126.3,97.7
3F,A,2,V,103.2,-111.7,185.3,95.4,116.9
3F,A,3,V,171.7,-20.4,-84.6,106.2,-0.1
3F,A,3A,V,-84.6,-20.7,171.2,0.1,106.1
