App,BUILD.àÍä—áX
É^ÉCÉgÉã,5ëw6íi-XVF-YVF BBB_1
éÅñº,ITEC
ó™èÃ,óYåíçHã∆
<â◊èdÉPÅ[ÉX>,ñ}ó·
V,âîíºâ◊èdéû
S,êœê·â◊èdéû
EXL,ínêkéûXLâ¡óÕ
EXR,ínêkéûXRâ¡óÕ
EYL,ínêkéûYLâ¡óÕ
EYR,ínêkéûYRâ¡óÕ
WXL,ïóâ◊èdéûXLâ¡óÕ
WXR,ïóâ◊èdéûXRâ¡óÕ
WYL,ïóâ◊èdéûYLâ¡óÕ
WYR,ïóâ◊èdéûYRâ¡óÕ
V+É¬1ÅES,[ëΩê·ãÊàÊ]í∑ä˙
V+É¬2ÅES+EXL,[ëΩê·ãÊàÊ]íZä˙ínêkéûXLâ¡óÕ
V+É¬2ÅES+EXR,[ëΩê·ãÊàÊ]íZä˙ínêkéûXRâ¡óÕ
V+É¬2ÅES+EYL,[ëΩê·ãÊàÊ]íZä˙ínêkéûYLâ¡óÕ
V+É¬2ÅES+EYR,[ëΩê·ãÊàÊ]íZä˙ínêkéûYRâ¡óÕ
V+É¬2ÅES+WXL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXLâ¡óÕ
V+É¬2ÅES+WXR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXRâ¡óÕ
V+É¬2ÅES+WYL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYLâ¡óÕ
V+É¬2ÅES+WYR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYRâ¡óÕ
<Së¢ëÂó¿ê›åvâûóÕ>
ó¿ïÑçÜ,äK,í ÇË,é≤,â◊èdÉPÅ[ÉX,ç∂í[M[kNm],åpéËM[kNm],íÜâõM[kNm],åpéËM[kNm],âEí[M[kNm],ç∂í[Q[kN],åpéËQ[kN],íÜâõQ[kN],åpéËQ[kN],âEí[Q[kN]
G59X,2F,A,2,V,95.8,24.1,-120.1,115.8,205.2,-97.7,-79.5,14.3,108.2,126.3
G59X,2F,A,3,V,185.1,104.1,-19.4,-81.0,-88.6,-112.7,-94.6,-56.8,-18.9,-0.8
G59X,2F,A,3A,V,-88.6,-81.9,-22.3,99.2,179.2,-0.8,17.4,55.2,93.1,111.2
G59X,2F,A,4,V,180.3,99.7,-22.7,-83.3,-90.4,-112.0,-93.9,-56.0,-18.1,0.0
G59X,2F,A,4A,V,-90.4,-83.3,-22.7,99.7,180.3,0.0,18.1,56.0,93.9,112.0
G59X,2F,A,5,V,179.2,99.2,-22.3,-81.9,-88.6,-111.2,-93.1,-55.2,-17.4,0.8
G59X,2F,A,5A,V,-88.6,-81.0,-19.4,104.1,185.1,0.8,18.9,56.8,94.6,112.7
G59X,2F,A,6,V,205.2,115.8,-120.1,24.1,95.8,-126.3,-108.2,-14.3,79.5,97.7
G59X,3F,A,2,V,103.2,33.7,-111.7,102.5,185.3,-95.4,-78.2,10.7,99.7,116.9
G59X,3F,A,3,V,171.7,95.5,-20.4,-77.8,-84.6,-106.2,-89.0,-53.1,-17.3,-0.1
G59X,3F,A,3A,V,-84.6,-77.9,-20.7,95.0,171.2,-0.1,17.1,53.0,88.9,106.1
G59X,3F,A,4,V,170.7,94.6,-21.3,-78.6,-85.3,-106.1,-89.0,-53.1,-17.2,0.0
G59X,3F,A,4A,V,-85.3,-78.6,-21.3,94.6,170.7,0.0,17.2,53.1,89.0,106.1
G59X,3F,A,5,V,171.2,95.0,-20.7,-77.9,-84.6,-106.1,-88.9,-53.0,-17.1,0.1
G59X,3F,A,5A,V,-84.6,-77.8,-20.4,95.5,171.7,0.1,17.3,53.1,89.0,106.2
G59X,3F,A,6,V,185.3,102.5,-111.7,33.7,103.2,-116.9,-99.7,-10.7,78.2,95.4
G59X,4F,A,2,V,105.7,35.6,-112.9,98.2,180.4,-96.4,-79.2,9.8,98.8,115.9
G59X,4F,A,3,V,170.7,94.6,-21.0,-78.1,-84.7,-106.0,-88.8,-52.9,-17.0,0.2
G59X,4F,A,3A,V,-84.7,-77.9,-20.4,95.7,171.9,0.2,17.3,53.2,89.1,106.3
G59X,4F,A,4,V,170.8,94.6,-21.2,-78.5,-85.2,-106.1,-89.0,-53.1,-17.2,0.0
G59X,4F,A,4A,V,-85.2,-78.5,-21.2,94.6,170.8,-0.0,17.2,53.1,89.0,106.1
G59X,4F,A,5,V,171.9,95.7,-20.4,-77.9,-84.7,-106.3,-89.1,-53.2,-17.3,-0.2
G59X,4F,A,5A,V,-84.7,-78.1,-21.0,94.6,170.7,-0.2,17.0,52.9,88.8,106.0
G59X,4F,A,6,V,180.4,98.2,-112.9,35.6,105.7,-115.9,-98.8,-9.8,79.2,96.4
G59X,5F,A,2,V,114.1,43.0,-110.9,94.8,175.9,-98.1,-80.9,8.1,97.1,114.2
G59X,5F,A,3,V,168.0,92.2,-22.7,-79.2,-85.5,-105.5,-88.3,-52.4,-16.5,0.7
G59X,5F,A,3A,V,-85.5,-78.4,-20.2,96.5,173.0,0.7,17.8,53.7,89.6,106.8
G59X,5F,A,4,V,171.0,94.9,-21.0,-78.3,-85.0,-106.1,-89.0,-53.1,-17.2,0.0
G59X,5F,A,4A,V,-85.0,-78.3,-21.0,94.9,171.0,0.0,17.2,53.1,89.0,106.1
G59X,5F,A,5,V,173.0,96.5,-20.2,-78.4,-85.5,-106.8,-89.6,-53.7,-17.8,-0.7
G59X,5F,A,5A,V,-85.5,-79.2,-22.7,92.2,168.0,-0.7,16.5,52.4,88.3,105.5
G59X,5F,A,6,V,175.9,94.8,-110.9,43.0,114.1,-114.2,-97.1,-8.1,80.9,98.1
G59X,RF,A,2,V,77.1,2.0,-144.0,117.9,215.4,-106.1,-86.0,18.1,122.3,142.4
G59X,RF,A,3,V,200.1,113.2,-19.4,-85.7,-93.9,-125.2,-105.1,-63.1,-21.1,-1.0
G59X,RF,A,3A,V,-93.9,-86.8,-23.1,107.0,192.8,-1.0,19.1,61.1,103.1,123.2
G59X,RF,A,4,V,193.2,106.8,-24.5,-89.5,-97.1,-124.2,-104.1,-62.1,-20.1,0.0
G59X,RF,A,4A,V,-97.1,-89.5,-24.5,106.8,193.2,-0.0,20.1,62.1,104.1,124.2
G59X,RF,A,5,V,192.8,107.0,-23.1,-86.8,-93.9,-123.2,-103.1,-61.1,-19.1,1.0
G59X,RF,A,5A,V,-93.9,-85.7,-19.4,113.2,200.1,1.0,21.1,63.1,105.1,125.2
G59X,RF,A,6,V,215.4,117.9,-144.0,2.0,77.1,-142.4,-122.3,-18.1,86.0,106.1
B34,2F,B,1,V,0.0,0.0,-82.5,0.0,-0.0,-39.3,0.0,-0.0,0.0,39.3
B34,2F,B,7,V,-0.0,0.0,-82.5,0.0,0.0,-39.3,0.0,0.0,0.0,39.3
B34,3F,B,1,V,0.0,0.0,-78.1,0.0,-0.0,-37.5,0.0,-0.0,0.0,37.5
B34,3F,B,7,V,-0.0,0.0,-78.1,0.0,0.0,-37.5,0.0,0.0,0.0,37.5
B34,4F,B,1,V,0.0,0.0,-78.1,0.0,-0.0,-37.5,0.0,-0.0,0.0,37.5
B34,4F,B,7,V,-0.0,0.0,-78.1,0.0,0.0,-37.5,0.0,0.0,0.0,37.5
B34,5F,B,1,V,0.0,0.0,-78.1,0.0,-0.0,-37.5,0.0,-0.0,0.0,37.5
B34,5F,B,7,V,-0.0,0.0,-78.1,0.0,0.0,-37.5,0.0,0.0,0.0,37.5
B34,RF,B,1,V,0.0,0.0,-93.0,0.0,-0.0,-49.4,0.0,-0.0,0.0,49.4
B34,RF,B,7,V,-0.0,0.0,-93.0,0.0,0.0,-49.4,0.0,0.0,0.0,49.4
