App,BUILD.àÍä—áX
É^ÉCÉgÉã,5ëw6íi-XVF-YVF BBB_1
éÅñº,ITEC
ó™èÃ,óYåíçHã∆
<â◊èdÉPÅ[ÉX>,ñ}ó·
V,âîíºâ◊èdéû
S,êœê·â◊èdéû
EXL,ínêkéûXLâ¡óÕ
EXR,ínêkéûXRâ¡óÕ
EYL,ínêkéûYLâ¡óÕ
EYR,ínêkéûYRâ¡óÕ
WXL,ïóâ◊èdéûXLâ¡óÕ
WXR,ïóâ◊èdéûXRâ¡óÕ
WYL,ïóâ◊èdéûYLâ¡óÕ
WYR,ïóâ◊èdéûYRâ¡óÕ
V+É¬1ÅES,[ëΩê·ãÊàÊ]í∑ä˙
V+É¬2ÅES+EXL,[ëΩê·ãÊàÊ]íZä˙ínêkéûXLâ¡óÕ
V+É¬2ÅES+EXR,[ëΩê·ãÊàÊ]íZä˙ínêkéûXRâ¡óÕ
V+É¬2ÅES+EYL,[ëΩê·ãÊàÊ]íZä˙ínêkéûYLâ¡óÕ
V+É¬2ÅES+EYR,[ëΩê·ãÊàÊ]íZä˙ínêkéûYRâ¡óÕ
V+É¬2ÅES+WXL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXLâ¡óÕ
V+É¬2ÅES+WXR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûXRâ¡óÕ
V+É¬2ÅES+WYL,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYLâ¡óÕ
V+É¬2ÅES+WYR,[ëΩê·ãÊàÊ]íZä˙ïóâ◊èdéûYRâ¡óÕ
<Së¢íåê›åvâûóÕ>
íåïÑçÜ,äK,í ÇË,é≤,â◊èdÉPÅ[ÉX,Åyíåì™ÅzMx[kNm],Åyíåì™ÅzMy[kNm],ÅyíåãrÅzMx[kNm],ÅyíåãrÅzMy[kNm],Qx[kN],Qy[kN],N[kN]
C2X,1F,A,2,V,43.4,0.2,-38.5,-0.8,-23.5,-0.3,661.1,
C1X,1F,A,3,V,-10.2,0.0,9.5,-0.0,5.6,-0.0,1541.4,
C1X,1F,A,4,V,0.7,0.0,-1.1,-0.0,-0.5,-0.0,1479.5,
C1X,1F,A,5,V,-0.7,0.0,1.1,-0.0,0.5,-0.0,1479.5,
C1X,1F,A,6,V,10.2,0.0,-9.5,-0.0,-5.6,-0.0,1541.4,
C2X,1F,A,7,V,-43.4,0.2,38.5,-0.8,23.5,-0.3,661.1,
C2X,2F,A,2,V,51.5,-0.1,-52.4,0.2,-33.0,0.1,530.8,
C1X,2F,A,3,V,-7.6,0.0,10.0,-0.0,5.6,-0.0,1224.6,
C1X,2F,A,4,V,-0.1,0.0,-0.3,-0.0,-0.1,-0.0,1178.4,
C1X,2F,A,5,V,0.1,0.0,0.3,-0.0,0.1,-0.0,1178.4,
C1X,2F,A,6,V,7.6,0.0,-10.0,-0.0,-5.6,-0.0,1224.6,
C2X,2F,A,7,V,-51.5,-0.1,52.4,0.2,33.0,0.1,530.8,
C2X,3F,A,2,V,52.8,0.0,-51.7,-0.1,-33.2,-0.0,404.0,
C1X,3F,A,3,V,-5.6,0.0,6.0,-0.0,3.7,-0.0,928.3,
C1X,3F,A,4,V,-0.4,0.0,0.4,-0.0,0.2,-0.0,892.8,
C1X,3F,A,5,V,0.4,0.0,-0.4,-0.0,-0.2,-0.0,892.8,
C1X,3F,A,6,V,5.6,0.0,-6.0,-0.0,-3.7,-0.0,928.3,
C2X,3F,A,7,V,-52.8,0.0,51.7,-0.1,33.2,-0.0,404.0,
C2X,4F,A,2,V,51.9,-0.0,-52.9,0.0,-33.3,0.0,276.2,
C1X,4F,A,3,V,-1.9,0.0,4.1,-0.0,1.9,-0.0,632.9,
